jnr,type_idx,type_name,bw_hz,fc_hz,is_jamming
-10,0,SingleTone,500.0,68676.76869894608,1
-10,0,SingleTone,500.0,10582.656900801681,1
-10,0,SingleTone,500.0,-60234.11728081158,1
-10,0,SingleTone,500.0,46018.74220386753,1
-10,0,SingleTone,500.0,42530.69084982386,1
-10,0,SingleTone,500.0,43275.59199564392,1
-10,0,SingleTone,500.0,-2834.0345223681943,1
-10,0,SingleTone,500.0,-11342.723165661133,1
-10,0,SingleTone,500.0,-45206.83055117339,1
-10,0,SingleTone,500.0,-74668.38912611926,1
-10,0,SingleTone,500.0,-59255.22428824286,1
-10,0,SingleTone,500.0,6429.961463876229,1
-10,0,SingleTone,500.0,-60740.58991789492,1
-10,0,SingleTone,500.0,33249.918145134056,1
-10,0,SingleTone,500.0,-51965.3006766824,1
-10,0,SingleTone,500.0,-58607.04923684374,1
-10,0,SingleTone,500.0,12647.210598682126,1
-10,0,SingleTone,500.0,-70079.2958402618,1
-10,0,SingleTone,500.0,-32906.42770763519,1
-10,0,SingleTone,500.0,-49378.30575419787,1
-10,0,SingleTone,500.0,-46561.83840610643,1
-10,0,SingleTone,500.0,-42836.61578828375,1
-10,0,SingleTone,500.0,3098.209441054074,1
-10,0,SingleTone,500.0,-24813.578587961558,1
-10,0,SingleTone,500.0,-18590.575343040844,1
-10,0,SingleTone,500.0,-17780.859867745814,1
-10,0,SingleTone,500.0,21252.78096796607,1
-10,0,SingleTone,500.0,-66167.11254086315,1
-10,0,SingleTone,500.0,38399.69910347051,1
-10,0,SingleTone,500.0,-42489.89853662145,1
-10,0,SingleTone,500.0,35028.62034488753,1
-10,0,SingleTone,500.0,-27294.500448357736,1
-10,0,SingleTone,500.0,-41493.50763001029,1
-10,0,SingleTone,500.0,31605.138891886556,1
-10,0,SingleTone,500.0,-17747.724149728274,1
-10,0,SingleTone,500.0,-74584.84610302848,1
-10,0,SingleTone,500.0,-29192.50266991787,1
-10,0,SingleTone,500.0,59689.325782112894,1
-10,0,SingleTone,500.0,-66031.36101698373,1
-10,0,SingleTone,500.0,-25050.87830256956,1
-10,0,SingleTone,500.0,-65811.56833361262,1
-10,0,SingleTone,500.0,37382.890115374365,1
-10,0,SingleTone,500.0,47269.88911626935,1
-10,0,SingleTone,500.0,64977.550837428076,1
-10,0,SingleTone,500.0,58036.543617862044,1
-10,0,SingleTone,500.0,19903.82035565682,1
-10,0,SingleTone,500.0,-17830.32585944276,1
-10,0,SingleTone,500.0,26759.74181392473,1
-10,0,SingleTone,500.0,-11381.36700449288,1
-10,0,SingleTone,500.0,-54174.57802111043,1
-10,0,SingleTone,500.0,-34008.28096229277,1
-10,0,SingleTone,500.0,51978.85734371585,1
-10,0,SingleTone,500.0,-3014.2559972415474,1
-10,0,SingleTone,500.0,-21875.46322544915,1
-10,0,SingleTone,500.0,69079.74966413606,1
-10,0,SingleTone,500.0,840.03524831502,1
-10,0,SingleTone,500.0,-46593.19425826745,1
-10,0,SingleTone,500.0,-42136.30952944703,1
-10,0,SingleTone,500.0,-60597.02791114135,1
-10,0,SingleTone,500.0,1855.8968483604694,1
-10,0,SingleTone,500.0,-42299.28036778809,1
-10,0,SingleTone,500.0,-27419.26209431079,1
-10,0,SingleTone,500.0,29797.395767917085,1
-10,0,SingleTone,500.0,-62199.91105391631,1
